word,length,uniqueCharacters
blank,5,5
blanket,7,7
blare,5,5
blaspheme,9,8
blast,5,5
blaze,5,5
bleach,6,6
bleak,5,5
bleat,5,5
bleed,5,4
bleeding,8,7
blemish,7,7
blend,5,5
blender,7,6
bless,5,4
blessing,8,7
blind,5,5
blindly,7,6
blindness,9,7
blink,5,5
bliss,5,4
blissful,8,6
blister,7,7
blizzard,8,7
bloat,5,5
block,5,5
blocking,8,8
bloke,5,5
blonde,6,6
blood,5,4
bloodless,9,6
bloody,6,5
bloom,5,4
blossom,7,5
blot,4,4
blotch,6,6
blouse,6,6
blow,4,4
blown,5,5
blubber,7,5
blue,4,4
blueberry,9,6
bluff,5,4
bluffy,6,5
bluish,6,6
blunder,7,7
blunt,5,5
blur,4,4
blush,5,5
blushing,8,8
bluster,7,7
boar,4,4
board,5,5
boast,5,5
boastful,8,8
boat,4,4
bob,3,2
bodily,6,6
body,4,4
bodyguard,9,8
bog,3,3
bogus,5,5
boil,4,4
boiler,6,6
boiling,7,6
boisterous,10,8
bold,4,4
bolt,4,4
bomb,4,3
bombing,7,6
bond,4,4
bone,4,4
bonfire,7,7
bonnet,6,5
bonus,5,5
boob,4,2
book,4,3
bookcase,8,7
bookie,6,5
booking,7,6
bookkeeper,10,6
bookstore,9,7
bookworm,8,6
boom,4,3
boost,5,4
boot,4,3
booth,5,4
boots,5,4
booty,5,4
booze,5,4
border,6,5
bore,4,4
bored,5,5
boredom,7,6
boring,6,6
born,4,4
borough,7,6
borrow,6,4
borrowing,9,7
boss,4,3
bossy,5,4
botany,6,6
both,4,4
bother,6,6
bottle,6,5
bottled,7,6
bottom,6,4
bough,5,5
boulevard,9,9
bounce,6,6
bouncing,8,7
bound,5,5
boundary,8,8
bounty,6,6
bouquet,7,6
bout,4,4
boutique,8,7
bow,3,3
bowel,5,5
bowl,4,4
bowling,7,7
box,3,3
boxer,5,5
boxing,6,6
boy,3,3
boycott,7,5
boyfriend,9,9
boyish,6,6
bra,3,3
brace,5,5
bracelet,8,7
bracket,7,7
brag,4,4
bragging,8,6
braid,5,5
brain,5,5
brainless,9,8
brainpower,10,9
brains,6,6
brainwash,9,8
brake,5,5
branch,6,6
brand,5,5
brandy,6,6
brash,5,5
brass,5,4
brave,5,5
brazen,6,6
breach,6,6
bread,5,5
breadth,7,7
break,5,5
breakdown,9,9
breaker,7,5
breakfast,9,8
breaking,8,8
breakthrough,12,10
breakup,7,7
breast,6,6
breastfeeding,13,11
breath,6,6
breathe,7,6
breather,8,6
breathing,9,9
breathtaking,12,10
breed,5,4
breeding,8,7
breeze,6,4
brevity,7,7
brew,4,4
bribe,5,4
bribery,7,5
brick,5,5
bridal,6,6
bride,5,5
bridesmaid,10,8
bridge,6,6
brief,5,5
briefcase,9,8
briefing,8,7
briefly,7,7
bright,6,6
brighten,8,8
brightest,9,8
brilliance,10,8
brilliant,9,7
brim,4,4
bring,5,5
brink,5,5
brisk,5,5
bristle,7,7
brittle,7,6
broad,5,5
broadcast,9,8
broadsheet,10,9
brochure,8,7
broke,5,5
broken,6,6
broker,6,5
bronze,6,6
brooch,6,5
brood,5,4
brook,5,4
broom,5,4
broth,5,5
brother,7,6
brotherhood,11,7
brow,4,4
brown,5,5
browse,6,6
bruise,6,6
bruised,7,7
brunch,6,6
brunette,8,6
brush,5,5
brutal,6,6
brute,5,5
bubble,6,4
bubbly,6,4
buck,4,4
bucket,6,6
buckle,6,6
bud,3,3
buddy,5,4
budge,5,5
budget,6,6
buff,4,3
buffet,6,5
bug,3,3
build,5,5
building,8,7
built,5,5
bulb,4,3
bulging,7,6
bulk,4,4
bull,4,3
bulldog,7,6
bullet,6,5
bulletin,8,7
bully,5,4
bullying,8,7
bum,3,3
bummer,6,5
bump,4,4
bumper,6,6
bumpy,5,5
bun,3,3
bunch,5,5
bundle,6,6
bunk,4,4
bunker,6,6
bunny,5,4
buoyancy,8,7
burden,6,6
bureau,6,5
bureaucracy,11,7
burger,6,5
burglar,7,6
burglary,8,7
burial,6,6
burka,5,5
burn,4,4
burns,5,5
burnt,5,5
burp,4,4
burst,5,5
bursting,8,8
bury,4,4
bus,3,3
bush,4,4
business,8,6
businessman,11,8
bust,4,4
bustle,6,6
busy,4,4
but,3,3
butcher,7,7
butler,6,6
butt,4,3
butter,6,5
butterfly,9,8
button,6,5
buy,3,3
buyer,5,5
buzz,4,3
buzzing,7,6
by,2,2
bye,3,3
bygone,6,6
bypass,6,5
bystander,9,9
cab,3,3
cabbage,7,5
cabin,5,5
cabinet,7,7
cable,5,5
cadet,5,5
cafeteria,9,7
caffeine,8,6
cage,4,4
cake,4,4
calamity,8,7
calculate,9,6
calculation,11,8
calculator,10,7
calendar,8,7
calf,4,4
caliber,7,7
call,4,3
caller,6,5
calligraphy,11,9
calling,7,6
callous,7,6
calm,4,4
calmly,6,5
calmness,8,7
calorie,7,7
calory,6,6
calumny,7,7
came,4,4
camel,5,5
camera,6,5
camomile,8,7
camouflage,10,9
camp,4,4
campaign,8,7
camping,7,7
campus,6,6
can,3,3
canal,5,4
canary,6,5
cancel,6,5
cancelling,10,7
cancer,6,5
candid,6,5
candidate,9,7
candied,7,6
candle,6,6
candour,7,7
candy,5,5
cane,4,4
canned,6,5
cannon,6,4
cannot,6,5
canteen,7,5
canvas,6,5
canvass,7,5
canyon,6,5
cap,3,3
capability,10,8
capable,7,6
capacious,9,7
capacity,8,6
cape,4,4
capital,7,6
cappuccino,10,7
caprice,7,6
caprize,7,7
captain,7,6
caption,7,7
captivate,9,7
captive,7,7
captivity,9,7
capture,7,7
captured,8,8
car,3,3
caravan,7,5
caraway,7,5
carbohydrate,12,10
carbon,6,6
card,4,4
cardboard,9,6
cardiac,7,5
cardinal,8,7
care,4,4
career,6,4
careful,7,7
carefully,9,8
careless,8,6
caress,6,5
cargo,5,5
carious,7,7
carnival,8,7
carnivorous,11,9
carp,4,4
carpenter,9,7
carpet,6,6
carriage,8,6
carrier,7,5
carrot,6,5
carry,5,4
carrying,8,7
carsick,7,6
cart,4,4
carter,6,5
carton,6,6
cartoon,7,6
cartrige,8,7
carve,5,5
carved,6,6
carver,6,5
cascade,7,5
case,4,4
cash,4,4
cashier,7,7
cashmere,8,7
casino,6,6
cask,4,4
casket,6,6
casserole,9,7
cassette,8,5
cast,4,4
casting,7,7
castle,6,6
casual,6,5
casualty,8,7
cat,3,3
catalogue,9,8
cataract,8,4
catastrophe,11,9
catch,5,4
catching,8,7
catchy,6,5
category,8,8
cater,5,5
caterer,7,5
catering,8,8
caterpillar,11,8
cathedral,9,8
catholic,8,7
cattish,7,6
cattle,6,5
caught,6,6
cauliflower,11,10
cause,5,5
causless,8,6
caution,7,7
cautious,8,7
cavalry,7,6
cave,4,4
caviar,6,5
cavity,6,6
caw,3,3
cease,5,4
ceasless,8,5
cedar,5,5
cede,4,3
ceiling,7,6
celebrate,9,7
celebration,11,10
celebrity,9,8
celery,6,5
cell,4,3
cellar,6,5
cellular,8,6
cement,6,5
cemetery,8,6
censor,6,6
census,6,5
cent,4,4
center,6,5
centered,8,6
centigrade,10,9
centimetre,10,7
central,7,7
centre,6,5
century,7,7
ceramic,7,6
cereal,6,5
ceremony,8,7
certain,7,7
certainly,9,9
certificate,11,7
certified,9,7
cessation,9,8
chafe,5,5
chagrin,7,7
chain,5,5
chained,7,7
chair,5,5
chairman,8,7
chalk,5,5
challenge,9,7
challenging,11,8
chamber,7,7
champagne,9,8
champion,8,8
championship,12,9
chance,6,5
chancellor,10,8
chancy,6,5
chandler,8,8
change,6,6
changeable,10,8
changeless,10,8
changing,8,6
channel,7,6
chaos,5,5
chap,4,4
chapel,6,6
chapter,7,7
character,9,6
characteristic,14,8
characterize,12,8
charge,6,6
charges,7,7
charging,8,7
charitable,10,9
charity,7,7
charm,5,5
charming,8,8
chart,5,5
charter,7,6
chase,5,5
chaste,6,6
chastise,8,7
chastisement,12,9
chat,4,4
chateau,7,6
chatter,7,6
chatterbox,10,9
chauffeur,9,7
cheap,5,5
cheapen,7,6
cheaper,7,6
cheat,5,5
cheater,7,6
cheating,8,8
check,5,4
checkbook,9,6
cheek,5,4
cheer,5,4
cheerful,8,7
cheering,8,7
cheerleader,11,7
cheerless,9,6
cheery,6,5
cheese,6,4
cheesy,6,5
chef,4,4
chemical,8,7
chemist,7,7
chemistry,9,9
cheque,6,5
cherish,7,6
cherry,6,5
chess,5,4
chest,5,5
chestnut,8,7
chew,4,4
chewing,7,7
chic,4,3
chicken,7,6
chief,5,5
child,5,5
childbirth,10,8
childhood,9,6
childish,8,6
children,8,8
chill,5,4
chilly,6,5
chimera,7,7
chimney,7,7
chin,4,4
china,5,5
chip,4,4
chips,5,5
chirp,5,5
chisel,6,6
chivalrous,10,10
chocolate,9,7
choice,6,5
choir,5,5
choke,5,5
cholesterol,11,8
choose,6,5
chop,4,4
chopped,7,6
chopper,7,6
chord,5,5
chore,5,5
chorus,6,6
chose,5,5
chosen,6,6
christening,11,9
chronic,7,6
chunk,5,5
church,6,4
churchyard,10,7
cider,5,5
cigar,5,5
cigarette,9,7
cinema,6,6
cinnamon,8,6
cipher,6,6
circle,6,5
circuit,7,5
circular,8,6
circulation,11,9
circumscribe,12,8
circumstance,12,10
circumstantial,14,10
circumvent,10,9
circus,6,5
cite,4,4
citizen,7,6
city,4,4
civic,5,3
civil,5,4
civilian,8,6
civilization,12,9
civilize,8,6
clack,5,4
clad,4,4
claim,5,5
clairvoyant,11,10
clam,4,4
clamp,5,5
clan,4,4
clang,5,5
clap,4,4
clarify,7,7
clarity,7,7
clash,5,5
clasp,5,5
class,5,4
classic,7,5
classical,9,5
classics,8,5
classified,10,8
classify,8,7
classmate,9,7
classroom,9,7
classy,6,5
clatter,7,6
clause,6,6
claw,4,4
clay,4,4
clean,5,5
cleaner,7,6
cleaning,8,7
clear,5,5
clearance,9,6
clearing,8,8
clearly,7,6
cleave,6,5
cleaver,7,6
cleft,5,5
clemency,8,6
clement,7,6
clench,6,5
clergy,6,6
clergyman,9,9
clerk,5,5
clever,6,5
cleverness,10,7
click,5,4
client,6,6
cliff,5,4
climate,7,7
climax,6,6
climb,5,5
climbing,8,7
clinch,6,5
cling,5,5
clinging,8,5
clinic,6,4
clinical,8,5
clip,4,4
clipper,7,6
cloak,5,5
cloakroom,9,7
clock,5,4
clockwise,9,8
clod,4,4
